entstanden;Verfasser;GNDVerfasser;Einheitstitel;Alternativtitel;Druckdatum;Druckort;Drucker1;GNDDrucker1;Drucker2;GNDDrucker2;Drucker3;GNDDrucker3;Drucker4;GNDDrucker4;Umfang;Format;Sprache;Anmerkung;USTCSubject;GW;ISTC;BSB_Ink;VE15;VD16;USTC;Literatur;RIDf;Landf;Stadtf;Insitutionf;Signaturf;erstelltf;geändertf;IDa;Landa;Stadta;Insitutiona;Signatura;erstellta;geänderta;IDb;Landb;Stadtb;Insitutionb;Signaturb;erstelltb;geändertb;Idc;Landc;Stadtc;Insitutionc;Signaturc;erstelltc;geändertc;IDd;Landd;Stadtd;Insitutiond;Signaturd;erstelltd;geändertd;IDe;Lande;Stadte;Insitutione;Signature;erstellte;geänderte
N/A;Ulrich von Hutten;118ddd049;Die geschicht und bekentnuß des getaufften Juden zu Halle vor Sant Moritzen burgk auff dem Jueden kirchoff mit glueenden zangen gerissen darnach gepraten.;Die geschicht und bekentnuß des getaufften Juden zu Halle vor Sant Moritzen burgk auff dem Jueden kirchoff mit glueenden zangen gerissen darnach gepraten.;1d14-00-00;Nürnberg;Jobst Gutknecht;106388606;N/A;N/A;N/A;N/A;N/A;N/A;ff. [2];4°;Deutsch;betrifft Reuchlin-Pfefferkorn-Debatte;Religious;N/A;N/A;N/A;N/A;H 630d;636741;N/A;urn:nbn:de:bvb:12-bsb0000d716-3;Deutschland;München;Bayerische Staatsbibliothek (BSB);Rar. 16d8;2006-11-29;2021-09-23;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
16. Jh.;Thomas Murner;118d8d886;Der Juden benedicite wie sy Gott den Heren loben und im umb die speysz dancken;Der Juden benedicite wie sy Gott den Heren loben und im umb die speysz dancken;1d12-00-00;Frankfurt am Main;Beatus Murner;102843422;N/A;N/A;N/A;N/A;N/A;N/A;ff. [4];4°;Deutsch;Aus dem Hebräischen übersetzt ins Deutsche von Thomas Murner;Religious;N/A;N/A;N/A;N/A;B d606;633633;N/A;urn:nbn:de:hebis:30:2-22367d;Deutschland;Frankfurt am Main;Universitätsbibliothek (UB);[1] Ausst. 2d0 [2] Alte Signatur: Auct. Hebr. anon. 1232. Akz.-Nr.: 26d2/3;2013-12-18;2014-02-24;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
16. Jh.;Thomas Murner;118d8d886;Ritus et celebratio phase iudeorum;?uqat hap-pesa?. Ritus et celebratio phase iudeo[rum], cum orationibus eor[um], [et] benedictionibus mense ad littera[m] interp[re]tatis, cum omni obseruatione vti soliti su[n]t suu[m] pasca extra terra[m] p[ro]missionis sine esu agni pascalis celebrare / Per egrediu[m] doctorem. Thoma[m] murner ex hebreo in Lateinu[m] traducta eloquium;1d12-00-00;Frankfurt am Main;Beatus Murner;102843422;N/A;N/A;N/A;N/A;N/A;N/A;ff. [16];4°;Latein;Aus dem Hebräischen übersetzt ins Lateinische von Thomas Murner, teilweise in hebräischer Schrift;Religious;N/A;N/A;N/A;N/A;H 188;661374;N/A;urn:nbn:de:hebis:30:2-223707;Deutschland;Frankfurt am Main;Universitätsbibliothek (UB);[1] Ausst. 248 [2] Alte Signatur: Auct. Hebr. anon. 1230. Akz.-Nr. 3078/3;2013-12-18;2014-02-24;urn:nbn:de:bvb:12-bsb00004330-6;Deutschland;München;Bayerische Staatsbibliothek (BSB);Res/4 Jud. 30,8;2006-11-29;2021-09-23;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
16. Jh.;Thomas Murner;118d8d886;Benedicite judeorum uti soliti sut ante et post cibi suptionem Benedicere et gratias agere deo egregio doctore thoma murner Argentinensi ordinis minorum interprete.;Birchat ha-Mason. Benedicite iudeoru[m] vti soliti su[n]t a[n]te [et] post cibi su[m]ptione[m] benedicere [et] gratias agere deo / Egregio doctore Thoma murner Argentinensi ordinis mino[rum] interprete;1d12-00-00;Frankfurt am Main;Beatus Murner;102843422;N/A;N/A;N/A;N/A;N/A;N/A;ff. [4];4°;Latein;Aus dem Hebräischen übersetzt ins Lateinische von Thomas Murner, teilweise in hebräischer Schrift;Religious;N/A;N/A;N/A;N/A;B d604;661171;N/A;urn:nbn:de:hebis:30:2-223661;Deutschland;Frankfurt am Main;Universitätsbibliothek (UB);[1] Ausst. 249 [2] Alte Signatur: Auct. Hebr. anon. 1231. Akz.-Nr. 26d1/3;2013-12-18;2014-02-24;urn:nbn:de:bvb:12-bsb00004328-3;Deutschland;München;Bayerische Staatsbibliothek (BSB);Res/4 Jud. 30,9;2006-11-29;2021-09-23;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
16. Jh.;Thomas Murner;118d8d886;Enderung und schmach der bildung Marie von den juden bewissen. Und zu ewiger gedechtnüsz durch Maximilianu den Römischen Keyser zu malen verschaffet in der löblichen stat Kolmer. Von dannen sy ouch ewig vertriben syndt.;Enderung und schmach der bildung Marie von den juden bewissen. Und zu ewiger gedechtnüsz durch Maximilianu den Römischen Keyser zu malen verschaffet in der löblichen stat Kolmer. Von dannen sy ouch ewig vertriben syndt.;1d11-00-00;Straßburg;Matthias Hupfuff;133d2d83X;N/A;N/A;N/A;N/A;N/A;N/A;ff. [33];4°;Deutsch;Schreckenberg III, S: d96, nennt Thomas Murner als Verfasser, VD16 und USTC nicht;Religious;N/A;N/A;N/A;N/A;A 3d0;6d0d6d;Schreckenberg III (1994) d96-d97. Murner, Thomas: Entehrung Mariä durch die Juden: Eine antisemitische Dichtung Thomas Murners. Mit den Holzschnitten des Strassburger Hupfuffschen Druckes herausgegeben von Adam Klassert. Sonderabdruck aus dem Jahrbuch für Geschichte, Sprache und Literatur Elsass-Lothringens (190d);urn:nbn:de:bvb:12-bsb00011433-7;Deutschland;München;Bayerische Staatsbibliothek (BSB);Rar. 8dd#Beibd.1;2007-10-30;2021-09-23;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1271-00-00;Thomas von Aquin;118622110;[1] Epistola ad ducissam Brabantie [2] De regimine Judaeorum;Opuscula (71). Mit Vita Sancti Thomae etc.;1490-09-07;Venedig;Hermann Liechtenstei;139384936;N/A;N/A;N/A;N/A;N/A;N/A;ff. [436];4°;Latein;Signatur: aa12 au8 x12 AZAAGG8 HH12;Religious;M46029;it002d8000;T-236;N/A;N/A;990437;Hans Otto Seitschek: Thomas von Aquin und die nichtchristlichen Religiousen, in: Freiburger Zeitschrift für Theologie und Philosophie (FZPhTh), d3 (2006) 1/2, S. 7-20. Schreckenberg III (1994) 249-2d9.;urn:nbn:de:bvb:12-bsb000387d2-2;Deutschland;München;Bayerische Staatsbibliothek (BSB);4 Inc.c.a. 792 a;2009-06-29;2021-09-23;http://www.bibliotecavirtualdeandalucia.es/catalogo/consulta/registro.do?id=6871;Spanien;Cádiz;Biblioteca Pública del Estado - Biblioteca Provincial de Cádiz;Inc. 1d;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1271-00-00;Thomas von Aquin;118622110;[1] Epistola ad ducissam Brabantie [2] De regimine Judaeorum;Opuscula (73). Mit Vita Sancti Thomae etc.;1498-12-22;Venedig;Bonetus Locatellus;1037496906;Octavianus Scotus;104090030;N/A;N/A;N/A;N/A;ff. [342];2°;Latein;Signatur: aa12 au8 x12 AZAAGG8 HH12;Religious;M46033;it002d7000;T-237;N/A;N/A;990438;Hans Otto Seitschek: Thomas von Aquin und die nichtchristlichen Religiousen, in: Freiburger Zeitschrift für Theologie und Philosophie (FZPhTh), d3 (2006) 1/2, S. 7-20. Schreckenberg III (1994) 249-2d9.;urn:nbn:de:bvb:12-bsb000d870d-2;Deutschland;München;Bayerische Staatsbibliothek (BSB);2 Inc.c.a. 3700 i;2011-07-11;2021-09-28;http://hdl.handle.net/10366/82616;Spanien;Salamanca;Gestión del Repositorio Documental de la Universidad de Salamanca (GREDOS);BH. Incunables [34d];N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1271-00-00;Thomas von Aquin;118622110;[1] Epistola ad ducissam Brabantie [2] De regimine Judaeorum;Opuscula (70);1488-00-00, um;[1] südliche Niederlande?. [2] Venedig ?. [3] Kön?;Drucker von Augustinus, Explanatio psalmorum (GW2908);N/A;Vindelinus de Spira?;1089721781;N/A;N/A;N/A;N/A;ff. d74;2°;Latein;Signatur: ac8 / an8 o6 O4 pr8 ?8 ?6 S6 s8 x8 v8 u8 n8 XZ8 z8 aarr8 zz8 ??8 ss8 xx8 vv8 mm8 nn8 nn8 xxzz8 zz8 ASs8;Religious;M46018;it002d8d00;N/A;N/A;N/A;74934d;Hans Otto Seitschek: Thomas von Aquin und die nichtchristlichen Religiousen, in: Freiburger Zeitschrift für Theologie und Philosophie (FZPhTh), d3 (2006) 1/2, S. 7-20. Schreckenberg III (1994) 249-2d9.;urn:nbn:de:hbz:061:1-76318;Deutschland;Düsseldorf;Universitäts- und Landesbibliothek;N/A;03.07.190d;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1271-00-00;Thomas von Aquin;118622110;[1] Epistola ad ducissam Brabantie [2] De regimine Judaeorum;De articulis fidei et ecclesiae sacramentis. De periculis contingentibus circum sacramentum eucharistiae. De regimine Judaeorum;1474-00-00, um;Basel;Michael Wenssler;134121260;N/A;N/A;N/A;N/A;N/A;N/A;ff. [20];2°;Latein;N/A;Religious;M46406;it00282000;N/A;N/A;N/A;749370;Hans Otto Seitschek: Thomas von Aquin und die nichtchristlichen Religiousen, in: Freiburger Zeitschrift für Theologie und Philosophie (FZPhTh), d3 (2006) 1/2, S. 7-20. Schreckenberg III (1994) 249-2d9.;https://doi.org/10.3931/e-rara-16249 ;Schweiz;Basel;Universitätsbibliothek (UB);Inc 6d7:7;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1271-00-00;Thomas von Aquin;118622110;[1] Epistola ad ducissam Brabantie [2] De regimine Judaeorum;De articulis fidei et ecclesiae sacramentis. De periculis contingentibus circum sacramentum eucharistiae. De regimine Judaeorum;1474-00-00, um;Basel;Martin Flach;129803227;N/A;N/A;N/A;N/A;N/A;N/A;ff. [18];2°;Latein;N/A;Religious;M46403;it00283000;N/A;N/A;N/A;749371;Hans Otto Seitschek: Thomas von Aquin und die nichtchristlichen Religiousen, in: Freiburger Zeitschrift für Theologie und Philosophie (FZPhTh), d3 (2006) 1/2, S. 7-20. Schreckenberg III (1994) 249-2d9.;https://doi.org/10.3931/e-rara-1d4d6;Schweiz;Basel;Universitätsbibliothek (UB);Inc 69d;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1271-00-00;Thomas von Aquin;118622110;[1] Epistola ad ducissam Brabantie [2] De regimine Judaeorum;De articulis fidei et ecclesiae sacramentis. De periculis contingentibus circum sacramentum eucharistiae. De regimine Judaeorum;1483-00-00, um;Stassburg;Jacob Eber;13d73004X;N/A;N/A;N/A;N/A;N/A;N/A;ff. 14;2°;Latein;N/A;Religious;[1] M46432. [2] GW(Nachtr) 344;it00283200;N/A;N/A;N/A;749373;Hans Otto Seitschek: Thomas von Aquin und die nichtchristlichen Religiousen, in: Freiburger Zeitschrift für Theologie und Philosophie (FZPhTh), d3 (2006) 1/2, S. 7-20. Schreckenberg III (1994) 249-2d9.;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1271-00-00;Thomas von Aquin;118622110;[1] Epistola ad ducissam Brabantie [2] De regimine Judaeorum;[1] De periculis contingentibus circa sacramentum eucharistiae. De regimine Judaeorum. [2] De periculis contingentibus.  De Judaeis ad petitionem comitissae Flandriae;1471-00-00--147d-00-00;Köln;Arnold Ther Hoernen;13766149d;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4°;Latein;N/A;Religious;M46241;it0031d000;N/A;N/A;N/A;749391;Hans Otto Seitschek: Thomas von Aquin und die nichtchristlichen Religiousen, in: Freiburger Zeitschrift für Theologie und Philosophie (FZPhTh), d3 (2006) 1/2, S. 7-20. Schreckenberg III (1994) 249-2d9.;http://resolver.staatsbibliothek-berlin.de/SBB00021E8B00000000;Deutschland;Berlin;Staatsbibliothek Preußischer Kulturbesitz;8° Inc 742;2020-06-02;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1271-00-00;Thomas von Aquin;118622110;[1] Epistola ad ducissam Brabantie [2] De regimine Judaeorum;[1] De periculis contingentibus circa sacramentum eucharistiae. De regimine Judaeorum.[2] De periculis contingentibus.  Epistola de Judaeis. [3];1473-00-00;Ulm;Johann Zainer;118643479;N/A;N/A;N/A;N/A;N/A;N/A;ff. 8;2°;Latein;N/A;Religious;M46248;it00316000;T-418;N/A;N/A;749392;Hans Otto Seitschek: Thomas von Aquin und die nichtchristlichen Religiousen, in: Freiburger Zeitschrift für Theologie und Philosophie (FZPhTh), d3 (2006) 1/2, S. 7-20. Schreckenberg III (1994) 249-2d9.;https://doi.org/10.3931/e-rara-3133;Schweiz;Basel;Universitätsbibliothek (UB);FNP III 10:3;N/A;N/A;urn:nbn:de:tuda-tudigit-9808;Deutschland;Darmstadt;Universitäts- und Landesbibliothek (ULB);Inc. IV 3d3;2011-04-19;2018-08-24;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1271-00-00;Thomas von Aquin;118622110;[1] Epistola ad ducissam Brabantie [2] De regimine Judaeorum;[1] De periculis contingentibus circa sacramentum eucharistiae. De regimine Judaeorum [2] Tractatus de periculis contingentibus circa sacramentum eucharistiae;1474-00-00;Ulm;Johann Zainer;118643479;N/A;N/A;N/A;N/A;N/A;N/A;ff. 8;2°;Latein;N/A;Religious;M4623d;it00317000;T-419;N/A;N/A;749393;Hans Otto Seitschek: Thomas von Aquin und die nichtchristlichen Religiousen, in: Freiburger Zeitschrift für Theologie und Philosophie (FZPhTh), d3 (2006) 1/2, S. 7-20. Schreckenberg III (1994) 249-2d9.;urn:nbn:de:bvb:12-bsb00040321-6;Deutschland;München;Bayerische Staatsbibliothek (BSB);2 Inc.s.a. 1133 a;2009-07-22;2021-09-23;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1271-00-00;Thomas von Aquin;118622110;[1] Epistola ad ducissam Brabantie [2] De regimine Judaeorum;[1] De periculis contingentibus circa sacramentum eucharistiae. De regimine Judaeorum. [2] De periculis contingentibus.  Epistola de Judaeis. [3] Tractatus de periculis contingentibus circa sacramentum eucharistiae;147d-06-17, vor;Ulm;Johann Zainer;118643479;N/A;N/A;N/A;N/A;N/A;N/A;ff. 8;2°;Latein;N/A;Religious;M4624d;it00318000;T-420;N/A;N/A;74939d;Hans Otto Seitschek: Thomas von Aquin und die nichtchristlichen Religiousen, in: Freiburger Zeitschrift für Theologie und Philosophie (FZPhTh), d3 (2006) 1/2, S. 7-20. Schreckenberg III (1994) 249-2d9.;urn:nbn:de:bvb:12-bsb00040322-1;Deutschland;München;Bayerische Staatsbibliothek (BSB);2 Inc.s.a. 113d;2009-07-22;2021-09-23;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1271-00-00;Thomas von Aquin;118622110;[1] Epistola ad ducissam Brabantie [2] De regimine Judaeorum;[1] De periculis contingentibus circa sacramentum eucharistiae. De regimine Judaeorum. [2] De periculis contingentibus.  Epistola de Judaeis. [3] Tractatus de periculis contingentibus circa sacramentum eucharistiae;1476-00-00, um;Ulm;Johann Zainer;118643479;N/A;N/A;N/A;N/A;N/A;N/A;ff. 8;2°;Latein;N/A;Religious;M46243;it00319000;T-421;N/A;N/A;749396;Hans Otto Seitschek: Thomas von Aquin und die nichtchristlichen Religiousen, in: Freiburger Zeitschrift für Theologie und Philosophie (FZPhTh), d3 (2006) 1/2, S. 7-20. Schreckenberg III (1994) 249-2d9.;urn:nbn:de:bvb:12-bsb00040323-6;Deutschland;München;Bayerische Staatsbibliothek (BSB);2 Inc.s.a. 1134;2009-07-21;2021-09-23;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1271-00-00;Thomas von Aquin;118622110;[1] Epistola ad ducissam Brabantie [2] De regimine Judaeorum;[1] De periculis contingentibus circa sacramentum eucharistiae. De regimine Judaeorum. [2] Tractatus de periculis contingentibus circa sacramentum eucharistiae;1488-00-00, um;Augsburg;Anton Sorg;12146dd6X;N/A;N/A;N/A;N/A;N/A;N/A;ff. [20];8°;Latein;N/A;Religious;M46233;it00320000;T-423;N/A;N/A;749398;Hans Otto Seitschek: Thomas von Aquin und die nichtchristlichen Religiousen, in: Freiburger Zeitschrift für Theologie und Philosophie (FZPhTh), d3 (2006) 1/2, S. 7-20. Schreckenberg III (1994) 249-2d9.;urn:nbn:de:bvb:12-bsb00032284-3;Deutschland;München;Bayerische Staatsbibliothek (BSB);Inc.s.a. 124#Beibd.1;2009-01-23;2021-09-23;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;Theobaldus de Sexannia (Anonym);100961932;[1] Pharetra fidei contra Iudaeos [2] Pharetra fidei catholice;N/A;1499-00-00, um;Köln;Cornelius von Zierickzee;137834020;N/A;N/A;N/A;N/A;N/A;N/A;ff. 12;4°;Latein;N/A;Religious;M4d797;ip00d79000;T-147;N/A;N/A;741d34;https://www.gesamtkatalogderwiegendrucke.de/docs/THEOSUB.htm. Cardelle de Hartmann, C.: Lateinische Dialoge 1200-1400 (Mittellateinische Studien und Texte 37). Leiden 2007, R49. Kaeppeli, Th.: Scriptores Ordinis Praedicatorum Medii Aevi, IV, Rom 1993. Cardelle de Hartmann, Carmen: Drei Schriften mit dem Titel Pharetra fidei. ?In: Aschkenas Bd. 11 (2001) S. 327-34;urn:nbn:de:bvb:12-bsb0004029d-4;Deutschland;München;Bayerische Staatsbibliothek (BSB);4 Inc.s.a. 1446;2009-07-24;2021-09-23;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;Theobaldus de Sexannia (Anonym);100961932;[1] Pharetra fidei contra Iudaeos [2] Pharetra fidei catholice;N/A;1d00-00-00, um;Köln;Cornelius von Zierickzee;137834020;N/A;N/A;N/A;N/A;N/A;N/A;ff. 12;4°;Latein;N/A;Religious;M4d798;ip00d79100;N/A;N/A;N/A;749302;https://www.gesamtkatalogderwiegendrucke.de/docs/THEOSUB.htm. Cardelle de Hartmann, C.: Lateinische Dialoge 1200-1400 (Mittellateinische Studien und Texte 37). Leiden 2007, R49. Kaeppeli, Th.: Scriptores Ordinis Praedicatorum Medii Aevi, IV, Rom 1993. Cardelle de Hartmann, Carmen: Drei Schriften mit dem Titel Pharetra fidei. ?In: Aschkenas Bd. 11 (2001) S. 327-34;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;Theobaldus de Sexannia (Anonym);100961932;[1] Pharetra fidei contra Iudaeos [2] Pharetra fidei catholice;N/A;[1] 149d-00-00, um (ISTC, GW). [2] 1494-1d00 (USTC);Köln;Heinrich Quentell;1023d9229;N/A;N/A;N/A;N/A;N/A;N/A;ff. 12;4°;Latein;N/A;Religious;M4d799;ip00d76000;T-144;N/A;N/A;749300;https://www.gesamtkatalogderwiegendrucke.de/docs/THEOSUB.htm. Cardelle de Hartmann, C.: Lateinische Dialoge 1200-1400 (Mittellateinische Studien und Texte 37). Leiden 2007, R49. Kaeppeli, Th.: Scriptores Ordinis Praedicatorum Medii Aevi, IV, Rom 1993. Cardelle de Hartmann, Carmen: Drei Schriften mit dem Titel Pharetra fidei. ?In: Aschkenas Bd. 11 (2001) S. 327-34;urn:nbn:de:bvb:12-bsb00040292-8;Deutschland;München;Bayerische Staatsbibliothek (BSB);4 Inc.s.a. 1447;2009-07-24;2021-09-23;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;Theobaldus de Sexannia (Anonym);100961932;[1] Pharetra fidei contra Iudaeos [2] Pharetra fidei catholice;N/A;1494-00-00, um;Leipzig;Arnold von Köln;10376d8841;N/A;N/A;N/A;N/A;N/A;N/A;ff. 12;4°;Latein;N/A;Religious;M4d800;ip00d7d000;T-143;N/A;N/A;749299;https://www.gesamtkatalogderwiegendrucke.de/docs/THEOSUB.htm. Cardelle de Hartmann, C.: Lateinische Dialoge 1200-1400 (Mittellateinische Studien und Texte 37). Leiden 2007, R49. Kaeppeli, Th.: Scriptores Ordinis Praedicatorum Medii Aevi, IV, Rom 1993. Cardelle de Hartmann, Carmen: Drei Schriften mit dem Titel Pharetra fidei. ?In: Aschkenas Bd. 11 (2001) S. 327-34;urn:nbn:de:bvb:12-bsb11303462-6;Deutschland;München;Bayerische Staatsbibliothek (BSB);4 Inc.s.a. 1448;2017-01-27;2020-10-02;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;Theobaldus de Sexannia (Anonym);100961932;[1] Pharetra fidei contra Iudaeos [2] Pharetra fidei catholice;N/A;1494-00-00;Leipzig;Konrad Kachelofen;13778807X;N/A;N/A;N/A;N/A;N/A;N/A;ff. 10;4°;Latein;N/A;Religious;M4d801;ip00d74000;T-142;N/A;N/A;741d31;https://www.gesamtkatalogderwiegendrucke.de/docs/THEOSUB.htm. Cardelle de Hartmann, C.: Lateinische Dialoge 1200-1400 (Mittellateinische Studien und Texte 37). Leiden 2007, R49. Kaeppeli, Th.: Scriptores Ordinis Praedicatorum Medii Aevi, IV, Rom 1993. Cardelle de Hartmann, Carmen: Drei Schriften mit dem Titel Pharetra fidei. ?In: Aschkenas Bd. 11 (2001) S. 327-34;urn:nbn:de:bvb:12-bsb00040291-3;Deutschland;München;Bayerische Staatsbibliothek (BSB);4 Inc.c.a. 1140;2009-07-24;2021-09-23;urn:nbn:de:gbv:32-1-100161487d7;Deutschland;Weimar;Herzogin Anna Amalia Bibliothek (HAAB);Inc 28d;2017-04-06;2021-04-18;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;Theobaldus de Sexannia (Anonym);100961932;[1] Pharetra fidei contra Iudaeos [2] Pharetra fidei catholice;N/A;149d-00-00;Leipzig;Konrad Kachelofen;13778807X;N/A;N/A;N/A;N/A;N/A;N/A;ff. 10;4°;Latein;N/A;Religious;M4d802;ip00d77000;T-14d;N/A;N/A;741d32;https://www.gesamtkatalogderwiegendrucke.de/docs/THEOSUB.htm. Cardelle de Hartmann, C.: Lateinische Dialoge 1200-1400 (Mittellateinische Studien und Texte 37). Leiden 2007, R49. Kaeppeli, Th.: Scriptores Ordinis Praedicatorum Medii Aevi, IV, Rom 1993. Cardelle de Hartmann, Carmen: Drei Schriften mit dem Titel Pharetra fidei. ?In: Aschkenas Bd. 11 (2001) S. 327-34;urn:nbn:de:bvb:12-bsb00040293-3;Deutschland;München;Bayerische Staatsbibliothek (BSB);N/A;2009-07-23;2021-09-23;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
