entstanden;Verfasser;GNDVerfasser;Einheitstitel;Alternativtitel;Druckdatum;Druckort;Drucker1;GNDDrucker1;Drucker2;GNDDrucker2;Drucker3;GNDDrucker3;Drucker4;GNDDrucker4;Umfang;Format;Sprache;Anmerkung;USTCSubject;GW;ISTC;BSB_Ink;VE15;VD16;USTC;Literatur;IDa;Landa;Stadta;Insitutiona;Signatura;erstellta;geänderta;IDb;Landb;Stadtb;Insitutionb;Signaturb;erstelltb;geändertb;Idc;Landc;Stadtc;Insitutionc;Signaturc;erstelltc;geändertc;IDd;Landd;Stadtd;Insitutiond;Signaturd;erstelltd;geändertd;IDe;Lande;Stadte;Insitutione;Signature;erstellte;geänderte;RIDf;Landf;Stadtf;Insitutionf;Signaturf;erstelltf;geändertf
N/A;N/A;N/A;N/A;Schmerzensmann [Schöner. Incipit];1500-00-00, um [Ende des 15. Jahrhunderts];Niederlande;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;N/A;Holzschnitt, Format 251 x 173. Abb: Schöner (2002) 75, nach: Wilhelm Molsdorf, Formschnitte des fünfzehnten Jahrhunderts aus der Sammlung Schreiber (= Einblattdrucke des fünfzehnten Jahrhunderts 15 [nicht 14 wie bei Schöner fälschlischerweise angegeben], hrsg. von Paul Heitz), Straßburg 1908, S. 9.;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Schöner (2002) 339, Nr. 14;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;Christus an der Martersäule [Schöner. Incipit];1470-00-00, um;Ulm;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;N/A;Holzschnitt, Format 128 x 125. Abb: Schöner (2002) 77, nach: Gustav Gugenbauer (Herausgeber), Inkunabeln der Graphik in den Klosterbibliotheken Ober-Österreichs und Salzburgs (= Einblattdrucke des fünfzehnten Jahrhunderts 36 [nicht 35 wie bei Schöner fälschlischerweise angegeben, hrsg. von Paul Heitz), Straßburg 1913, S. 38.;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Schöner (2002) 339, Nr. 15;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;Ablaßplakat mit den Arma Christi [Schöner. Incipit];1440-00-00, um;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;Deutsch;Holzschnitt, koloriert. xylographischer Text, Prosa. Transkription bei Schöner (2002) 340, Nr. 16. Abb: Schöner (2002) 78, nach: Schreckenberg, Bildatlas, S. 203, Abb. 6.;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Schöner (2002) 340, Nr. 16;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;Christus im Verhör [Schöner. Incipit];1440-00-00, um;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;(Pseudo-)Hebräisch;"Holzschnitt, Format 98 x 82. xylographischer Text, Transliteration nach Schöner vielleicht ""bös"". Abb: Schöner (2002) 81, nach: Schreckenberg, S. 194, Abb. 20 [Angabe zu Band fehlt bei Schöner).";N/A;N/A;N/A;N/A;N/A;N/A;N/A;Schöner (2002) 340, Nr. 17;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;Christus vor Kaiphas [Schöner. Incipit];1509-00-00;Weimar;Lucas Cranach der Ältere;118522582;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;N/A;Holzschnitt, Format 250 x 172. Abb: Schöner (2002) 83, nach: Geisberg-Strauß, G. 545.;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Schöner (2002) 340, Nr. 19;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;Do tausent vierhundert unfundsibenczig jar [Schöner. Incipit];1475-00-00, um;Nürnberg;Friedrich Creussner;135725259;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;Deutsch;Holzschnitt, Format 266 x 379. xylographischer Text, 50 Knittelferse, Transkription bei Schöner (2002) 348-349, Nr. 28. Abb: Schöner (2002) 121, nach: Georg Leidinger, Einzel-Holzschnitte des fu?nfzehnten Jahrhunderts in der KGL. Hof- und Staatsbibliothek Mu?nchen (= Einblattdrucke des fünfzehnten Jahrhunderts 11 [nicht 10 wie bei Schöner fälschlischerweise angegeben], hrsg. von Paul Heitz), Straßburg 1908, S. 45.;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Schöner (2002) 348-349, Nr. 28;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;Beatus . Simon . martir [Schöner. Incipit];1479-00-00, nach;Nürnberg;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;Latein;betrifft den Ritualmord an Simon von Trient. Holzschnitt, Format 266 x 379. xylographischer Text, 50 Knittelferse, Transkription bei Schöner (2002) 348-349, Nr. 28. Abb: Schöner (2002) 121, nach: Schreckenberg, Bildatlas, S. 291, Abb. 6f.;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Schöner (2002) 349, Nr. 29;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;[1] Gedicht von dem Knaben Simon zu Trient [ISTC] [2] Historia S. Simonis Tridentini, deutsch. Simon, ein Kind bin ich genannt. (Gedicht über den Tod des Knaben Simon zu Trient) [GW];Die legendt vnd marter[... SImon ein kyndt bin ich genant] [Schöner. Incipit];1500-00-00, um;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;Deutsch;betrifft den Ritualmord an Simon von Trient. Holzschnitt, Format 248 Breite. typographischer Text, Knittelverse, Transkription bei Schöner (2002) 354-357, Nr. 33. nicht in anderen Standartkatalogen nachgewiesen. Abb: Schöner (2002) 130, nach: Staatsbibliothek Bamberg: VI G 75;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Schöner (2002) 354-357, Nr. 33;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;Der Wilde Mann [Schöner. Incipit];1509-00-00;N/A;Lucas Cranach der Ältere;118522582;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;N/A;Einblattholzschnitt. Abb: Schöner (2002) 138, nach: Cecelia F. Klein, Wild Women in Colonial Mexico. An Encounter of European and Aztec Concepts of the Other, in: Refraiming the Renaissance Visual Culture in Europe and Latein America 1450-1650, hrsg. von Claire Farago, New-Haven/London 1995, S. 245-264, hier S. 247. (Uzk, Standort: Kunstgeschichte / Allgemeine Kunstgeschichte, Signatur: 428/E651/130);N/A;N/A;N/A;N/A;N/A;N/A;N/A;Schöner (2002) 361-362, Nr. 37;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;Hort ir herren allgemein [Schöner. Incipit];1500-00-00--1550-00-00 [1. Hälfte des 16. Jahrhunderts];N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;Deutsch;Holzschnitt. xylographischer Text, Knittelverse in Reimpaaren. Transkription bei Schöner (2002) 361-362, Nr. 40. Abb: Schöner (2002) 144, nach: Schreckenberg, Bildatlas, S. 364, Abb. 4.;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Schöner (2002) 361-362, Nr. 40;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;Ich pauck vnd pfeyff euch allen herein [Schöner. Incipit];1500-00-00, um [Ende des 15. Jahrhunderts];N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;Deutsch;Holzschnitt, Format 259 x 380. xylographischer Text, 8 Verspaare. Transkription bei Schöner (2002) 379, Nr. 53. Abb: Schöner (2002) 190, nach: Heinrich Röttinger, Einzel-Formschnitte des fu?nfzehnten Jahrhunderts aus der Erzherzoglichen Kunstsammlung Albertina in Wien (= Einblattdrucke des fünfzehnten Jahrhunderts 27 [nicht 36 wie bei Schöner fälschlischerweise angegeben, hrsg. von Paul Heitz), Straßburg 1912, S. 20.;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Schöner (2002) 378-379, Nr. 53;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;Judensau [Schöner];1472-00-00;Oberdeutschland;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;Deutsch;Holzschnitt, Format 266 x 403. xylographischer Text. Transkription bei Schöner (2002) 379, Nr. 55. Abb: Schöner (2002) 195, nach: Isaiah Shachar, The Judensau. An Medieval Anti-Jewish Motif and itd History, London 1974, Pl. 30.;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Schöner (2002) 379, Nr. 55;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;Nun wisset waß der wucher tuet [Schöner. Incipit];1475-00-00, um;Mähren;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;Deutsch;Holzschnitt. xylographischer Text. Transkription bei Schöner (2002) 394, Nr. 63. Abb: Schöner (2002) 218, nach: Schreckenberg, Bildatlas, S. 320, Abb. 1.;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Schöner (2002) 394, Nr. 63;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;Jurist, Jude und Weib;Der Jurist mir seinem b?ch [Schöner. Incipit];1520-00-00, um;Nürnberg;Hans Wandereisen;131659448;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;Deutsch;Holzschnitt, Format 215 x 168. typographischer Text. Transkription bei Schöner (2002) 395, Nr. 64. Abb: Schöner (2002) 221, nach: Strauß IV (1975) 1436;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Schöner (2002) 395, Nr. 64;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;NA;N/A;N/A;[1] Wer hat ye gro?sser clag erhort [Schöner. Incipit] [2] Wer hat ye grösser clag erhort Der Tyran mich erschrocklich sport [USTC];1525-00-00;Nürnberg;Hans Guldenmund;123253705;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;Deutsch;Holzschnitt, typographischer Text, 6 und 76 Verse von Hans Sachs. Transkription bei Schöner (2002) 397-399, Nr. 66. Abb.: Schöner (2002) 228, nach: Geisberg-Strauß, G. 813. Exemplar: Deutschland, Hamburg Kunsthalle, Kupferstichkabinett;Adages and Emblem books;N/A;N/A;N/A;N/A;N/A;752706;Schöner (2002) 397-399, Nr. 66;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;Item diß ist die recht form des warhafftigen Titels [Schöner. Incipit];1493-00-00;Memmingen;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;Deutsch;Holzschnitt, Format 405 x 273. xylographischer Text. Transkription bei Schöner (2002) 415-416, Nr. 76. Abb.: Schöner (2002) 268, nach: Richars Schmidbauer, Einzel-Formschnitte des fu?nfzehnten Jahrhunderts in der Staats-, Kreis- und Stadtbibliothek Augsburg (= Einblattdrucke des fünfzehnten Jahrhunderts 19 [nicht 18 wie bei Schöner fälschlischerweise angegeben], hrsg. von Paul Heitz), Straßburg 1909, S. 24.;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Schöner (2002) 415-416, Nr. 76;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;Der Titel des Creutzs in drey sprach [Schöner. Incipit];1505-00-00, um;Nürnberg;Dürer-Schule;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;[1] Deutsch [2] Hebräisch (Spruchband) [3] Greichisch (Spruchband);"Holzschnitt, Format 287 x 187. Text in den Spruchbänderen xylographisch, sonst typographisch. Transkription bei Schöner (2002) 416-17, Nr. 77. Abb.: Schöner (2002) 270, nach: Geisberg-Strauß, G. 747. BSB-Anmerkung: ""Der Druck wird der Dürer-Schule zugeschrieben (vgl. auch Nachweis). Eine Lokalisierung und Datierung des Druckes ""Wien, Johann Winterburg, 1501"" beruht auf einer Verwechslung mit zwei Drucken mit ähnlichem Titel, die dem Handexemplar von Hartmann Schedels ""Schedelscher Weltchronik"" beigebunden sind, vgl. Ruland, Anton: Das Exemplar von ""Hartmanni Schedelii Chronicon lat. Norimbergae 1493"" welches der Verrfasser Hartmann Schedel selbst besass. In: Serapeum. Zeitschrift für Bibliothekwissenschaft, Handschriftenkunde und ältere Literatur 15, 1854. S. 148"". BSB-Bemerkung: ""Blattmaß 30,5 x 21 cm. Koloriert. Abgelöst von einem Einband. Hinterklebt. Auf der Rückseite (aus der Hinterklebung freigelegt) hss. Besitzeintrag 16./17. Jh.. Kleinere Fehlstellen im Text und der großen Illustration (Wurmfraß). - Provenienz: Fabricius, Anton (um 1570). - Handschriftlich eingetragene Personen: Fabricius, Anton. - Rückseite hss. Besitzeintrag 16./17. Jh.: ""Ex libris Anthonij Fabricij Gottes Ehr mein lehr Ut sacra fructificent Divini semina verbj sit tua summe DEUS gloria sermo meus"". - Provenienz: Ex libris Anthonij Fabricij"". BSB-Schlagwörter: Religiöse Texte, Erbauungsliteratur, Didaktische Schriften.";Ablass;N/A;N/A;N/A;N/A;N/A;750927;Schöner (2002) 416-417, Nr. 77;urn:nbn:de:bvb:12-bsb00098890-2;Deutschland;München;Bayerische Staatsbibliothek (BSB);Einbl. VII,2;2007-10-09;2021-09-28;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;Ezechiel spricht der Prophet [Schöner. Incipit];[1] 1525-00-00, um [Schöner 417]. [2] 1575-00-00, um [Schöner 274];Nürnberg;Eberhard Schön;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;Deutsch;Holzschnitt, Format 242 x 166. typographischer Text, 16 Reimpaarverse. Transkription bei Schöner (2002) 417, Nr. 78. Abb.: Schöner (2002) 274, nach: Geisberg-Strauß, HG. 1138.;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Schöner (2002) 416-417, Nr. 78;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;N/A;Der heiligen/ vnbefleckten/ ausserwelten/ einigen Braut Jesu [Schöner. Incipit];1529-00-00;Straßburg;Hans Weidnitz;118806491;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;Deutsch;Holzschnitt. Format 255 x 340. typographischer Text, 16 Verse unter der Abbildung, auf der rechten Seite Prosa. Transkription bei Schöner (2002) 419-421, Nr. 80. Abb.: Schöner (2002) 279, nach: Geisberg-Strauß, G. 1506.;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Schöner (2002) 419-421, Nr. 80;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;Johannes Reuchlin;118744658;Tütsch missive;Tütsch missive. Warumb die Juden so lang im ellend sind;1505-00-00;Pforzheim;Thomas Anshelm;123978386;N/A;N/A;N/A;N/A;N/A;N/A;ff. [5];4°;Deutsch;Exemplar: United Kingdom, London, British Library, Signatur: 1352.i.33.;N/A;N/A;N/A;N/A;N/A;R 1246;640970;Floerken 28-34;urn:nbn:de:bvb:12-bsb00006194-4;Deutschland;München;Bayerische Staatsbibliothek (BSB);Res/4 P.lat. 1101 a Beibd.2;2007-01-31;2021-09-23;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;Franciscus Tissardus;137736703;Dialogus (etc.);Dialogus Prothymopatros kai phronimos. Dialogus: Qui videlicet pro patria promptus est et Prudens. De Judeorum ritibus compendium. Tabula elementorum hebraicorum. Documenta ut debeant illa elementa proferri ac legi. Ut Hebrei numeros signant [USTC];1508-00-00;Paris;Gilles de Gourmont;1037571444;N/A;N/A;N/A;N/A;N/A;N/A;90 Bl.;N/A;[1] Latein [ÖNB] [2] Griechisch [USTC];Original von Österreichische Nationalbibliothek, digitalisiert: 24. Nov. 2011;N/A;N/A;N/A;N/A;N/A;N/A;180316;USTC verweist auf: Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Bd. 1, 299: 190 [UZK, Hauptabt. / Lesesaal Historische Sammlungen, Signatur: HL/Dkp111/2-1]. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, 88924 [UZK, Hauptabt. / Lesesaal Historische Sammlungen, Signatur: HL/Djf20/20-1];http://data.onb.ac.at/rep/10315426;Österreich;Wien;Nationalbibliothek (NB);73.H.14.(Adl) ALT PRUNK;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden [USTC];Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden [USTC];1510-00-00;Nürnberg;Hieronymus Höltzel;131671308;N/A;N/A;N/A;N/A;N/A;N/A;ff. [3];4°;Deutsch;Lagenform: A3;Religious;N/A;N/A;N/A;N/A;W 4596;647502;N/A;http://data.onb.ac.at/rep/105D8790;Österreich;Wien;Nationalbibliothek (NB);26400-B ALT MAG;N/A;N/A;urn:nbn:de:bvb:12-bsb10201012-0;Deutschland;München;Bayerische Staatsbibliothek (BSB);Res/4 H.eccl. 870,18 m;2013-05-08;2020-09-04;urn:nbn:de:bvb:12-bsb10202114-1;Deutschland;München;Bayerische Staatsbibliothek (BSB);Res/4 Jud. 30,7;2014-05-15;N/A;urn:nbn:de:bvb:12-bsb00005473-3;Deutschland;München;Bayerische Staatsbibliothek (BSB);Rar. 1589#Beibd.12;2007-01-22;2021-09-23;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden [USTC];Ein wunderbarlich geschichte: wie die merckischen juden das hochwirdig sacrament gekaufft unnd zu martern sich undstannden;1510-00-00;München;Hans Schobser;118609874;N/A;N/A;N/A;N/A;N/A;N/A;ff. [4];4°;Deutsch;betrifft Vorwuf der Hostienschändungen und Ritualmorde in Berlin 1510, Vertreibung aus der Mark Brandenburg;N/A;N/A;N/A;N/A;N/A;W 4595;647501;N/A;urn:nbn:de:bvb:12-bsb00004329-3;Deutschland;München;Bayerische Staatsbibliothek (BSB);Res/4 Jud. 30,6;2007-11-13;2021-09-23;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden [USTC];Eyn wunderbarlich Geschichte, wye die Marckischen Jüdenn Das hochwirdigst Sacrament Gekaufft, und zcu Martern sich unterstanden: Durch ein höchgelarten Hern doctoren des thüns Gegrunt, kortzlich erlewtert. anno 1510.;1510-00-00;Leipzig;Martin Landsberg;104296801;N/A;N/A;N/A;N/A;N/A;N/A;ff. [5];4°;Deutsch;"betrifft Vorwuf der Hostienschändungen und Ritualmorde in Berlin 1510, Vertreibung aus der Mark Brandenburg. VD16: ""Variante zu VD16 W 4593 und ZV 26067. Erkennungslesarten: 'Marckischen', 'hochwirdigst'""";Religious;N/A;N/A;N/A;N/A;ZV 32059;2213248;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
N/A;N/A;N/A;Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden [USTC];Eyn wunderbarlich Geschichte wye die Marckischen Juedenn das hochwirtigst Sacrament gekaufft und zcu Martern sich unterstanden;1510-00-00;Leipzig;Martin Landsberg;104296801;N/A;N/A;N/A;N/A;N/A;N/A;ff. [5];4°;Deutsch;"betrifft Vorwuf der Hostienschändungen und Ritualmorde in Berlin 1510, Vertreibung aus der Mark Brandenburg. VD16: ""Variante zu VD16 ZV 26067. Erkennungslesart: ""Marckischen""."". USTC 656813 = USTC 2213248 = USTC 656814 ?. Titelholzschnitte";Religious;N/A;N/A;N/A;N/A;W 4593;656813;N/A;urn:nbn:de:gbv:3:1-112880;Deutschland;Halle;Universitäts- und Landesbibliothek Sachsen-Anhalt;78 L 1577 (10);2009-11-06;2021-11-09;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
